"supergroup","group","phrase","count"
"AGRI","01","plant functional groups",228
"AGRI","01","plant functional traits",397
"AGRI","01","plant functional types",83
"AGRI","01","plant gene",46
"AGRI","01","plant genome",66
"AGRI","01","plant growth",680
"AGRI","01","plant growth promoting",57
"AGRI","01","plant height",498
"AGRI","01","plant hydraulic",62
"AGRI","01","plant leaf",351
"AGRI","01","plant leaves",355
"AGRI","01","plant morphology",50
"AGRI","01","plant nutrient",54
"AGRI","01","plant pathogens",38
"AGRI","01","plant performance",144
"AGRI","01","plant phenology",78
"AGRI","01","plant physiology",238
"AGRI","01","plant productivity",113
"AGRI","01","plant proteins",62
"AGRI","01","plant reproduction",59
"AGRI","01","plant root",217
"AGRI","01","plant seed",117
"AGRI","01","plant shoots",22
"AGRI","01","plant stem",58
"AGRI","01","plant stomata",37
"AGRI","01","plant stress",30
"AGRI","01","plant tissue",69
"AGRI","01","plant traits",760
"AGRI","01","plant transpiration",37
"AGRI","01","plant water relations",34
"AGRI","01","plant yield",26
"AGRI","01","plastic responses",166
"AGRI","01","pollen",61
"AGRI","01","pollination",250
"AGRI","01","pollutant removal",56
"AGRI","01","pollution effect",134
"AGRI","01","pollution exposure",125
"AGRI","01","pollution tolerance",62
"AGRI","01","polymorphism",45
"AGRI","01","polymorphism, single nucleotide",60
"AGRI","01","population decline",228
"AGRI","01","population density",271
"AGRI","01","population dynamics",553
"AGRI","01","population growth",290
"AGRI","01","population persistence",88
"AGRI","01","population size",133
"AGRI","01","porosity",18
"AGRI","01","potassium",25
"AGRI","01","pregnancy",25
"AGRI","01","primary producers",67
"AGRI","01","primary production",396
"AGRI","01","production traits",29
"AGRI","01","productivity",136
"AGRI","01","proline content",44
"AGRI","01","protein",123
"AGRI","01","protein expression",28
"AGRI","01","pyrolysis temperature",24
"AGRI","01","qualitative traits",24
"AGRI","01","quality traits",186
"AGRI","01","quantitative trait",534
"AGRI","01","quantitative trait loci",75
"AGRI","01","quantitative trait locus",128
"AGRI","01","quantitative trait, heritable",61
"AGRI","01","range expansion",406
"AGRI","01","range shifts",252
"AGRI","01","range size",108
"AGRI","01","rapid growth",61
"AGRI","01","reactive oxygen",92
"AGRI","01","recruitment (population dynamics)",75
"AGRI","01","reduced growth",49
"AGRI","01","related traits",87
"AGRI","01","relative abundance",347
"AGRI","01","relative growth",99
"AGRI","01","relative growth rate",38
"AGRI","01","relative humidity",94
"AGRI","01","relative water",134
"AGRI","01","relative water content",120
"AGRI","01","removal efficiency",32
"AGRI","01","reproduction",377
"AGRI","01","reproductive behavior",49
"AGRI","01","reproductive biology",88
"AGRI","01","reproductive fitness",56
"AGRI","01","reproductive output",106
"AGRI","01","reproductive performance",44
"AGRI","01","reproductive stage",69
"AGRI","01","reproductive strategy",147
"AGRI","01","reproductive success",223
"AGRI","01","reproductive traits",267
"AGRI","01","resilience",127
"AGRI","01","resistance",56
"AGRI","01","resistance genes",41
"AGRI","01","resistance traits",70
"AGRI","01","resource acquisition",132
"AGRI","01","resource use",55
"AGRI","01","resource utilization",36
"AGRI","01","respiration",65
"AGRI","01","response traits",45
"AGRI","01","resprouting",17
"AGRI","01","rhizosphere",55
"AGRI","01","root",51
"AGRI","01","root growth",11
"AGRI","01","root length",15
"AGRI","01","root system",108
"AGRI","01","root traits",35
"AGRI","01","root-shoot ratio",49
"AGRI","01","rooting depth",28
"AGRI","01","salinity",135
"AGRI","01","salinity tolerance",63
"AGRI","01","salt tolerance",13
"AGRI","01","secondary metabolites",113
"AGRI","01","seed",267
"AGRI","01","seed bank",52
"AGRI","01","seed dispersal",100
"AGRI","01","seed production",45
"AGRI","01","seed size",40
"AGRI","01","seedling",271
"AGRI","01","seedling emergence",65
"AGRI","01","seedling establishment",93
"AGRI","01","seedling growth",99
"AGRI","01","seedling stage",62
"AGRI","01","seedling survival",68
"AGRI","01","seedling traits",26
"AGRI","01","sexual maturity",43
"AGRI","01","sexual reproduction",75
"AGRI","01","shade tolerance",64
"AGRI","01","shoot biomass",61
"AGRI","01","shoot growth",36
"AGRI","01","shoot length",62
"AGRI","01","shoot ratio",76
"AGRI","01","single nucleotide polymorphism",210
"AGRI","01","social behavior",27
"AGRI","01","sodium",13
"AGRI","01","sodium chloride",21
"AGRI","01","soil",654
"AGRI","01","soil carbon",118
"AGRI","01","soil chemistry",38
"AGRI","01","soil fertility",87
"AGRI","01","soil moisture",201
"AGRI","01","soil nitrogen",75
"AGRI","01","soil nutrient",131
"AGRI","01","soil organic matter",131
"AGRI","01","soil quality",57
"AGRI","01","solubility",7
"AGRI","01","soluble protein",44
"AGRI","01","soluble solids",40
"AGRI","01","solvents",7
"AGRI","01","sorption mechanism",4
"AGRI","01","species composition",551
"AGRI","01","species diversity",999
"AGRI","01","species richness",1220
"AGRI","01","species traits",482
"AGRI","01","specific leaf area",78
"AGRI","01","specific traits",88
"AGRI","01","stoichiometry",46
"AGRI","01","stomatal conductance",431
"AGRI","01","stomatal density",106
"AGRI","01","stress conditions",361
"AGRI","01","stress levels",29
"AGRI","01","stress resistance",128
"AGRI","01","stress response",229
"AGRI","01","stress tolerance",506
"AGRI","01","structural traits",50
"AGRI","01","studied traits",75
"AGRI","01","sugar content",31
"AGRI","01","surface functional groups",38
"AGRI","01","survival",412
"AGRI","01","survival rate",90
"AGRI","01","temperature",730
"AGRI","01","temperature conditions",95
"AGRI","01","temperature dependence",38
"AGRI","01","temperature gradient",135
"AGRI","01","temperature range",88
"AGRI","01","temperature sensitivity",57
"AGRI","01","temperature tolerance",213
"AGRI","01","tensile strength",9
"AGRI","01","thermal limits",103
"AGRI","01","thermal stability",19
"AGRI","01","thermal stress",138
"AGRI","01","thermal tolerance",281
"AGRI","01","thermoregulation",120
"AGRI","01","tissue density",39
"AGRI","01","tolerance",149
"AGRI","01","tolerance index",41
"AGRI","01","tolerance traits",110
"AGRI","01","tolerant genotypes",54
"AGRI","01","total biomass",157
"AGRI","01","total chlorophyll",55
"AGRI","01","total nitrogen",124
"AGRI","01","total organic",39
"AGRI","01","total organic carbon",40
"AGRI","01","total phenolic",66
"AGRI","01","trace elements",78
"AGRI","01","trait combinations",62
"AGRI","01","trait composition",161
"AGRI","01","trait differences",121
"AGRI","01","trait distributions",108
"AGRI","01","trait diversity",118
"AGRI","01","trait expression",66
"AGRI","01","trait locus",63
"AGRI","01","trait plasticity",91
