group,phrase,count
SOCI,history traits,18
SOCI,important traits,8
SOCI,life-history traits,29
SOCI,morphological traits,31
SOCI,phenotypic traits,18
SOCI,physiological traits,24
SOCI,plant functional groups,15
SOCI,plant functional traits,23
SOCI,plant traits,49
SOCI,quality traits,21
SOCI,quantitative trait,7
SOCI,reproductive traits,7
SOCI,species traits,38
SOCI,trait variation,4
