id,code,text
653,1100,quantitative__trait
656,1100,morphological__traits
657,1100,quantitative__trait
658,1100,growth__traits
659,1100,functional__groups
663,1100,quantitative__trait
665,1100,functional__traits
668,1100,functional__groups
670,1100,quality__traits
671,1100,functional__traits
674,1100,morphological__traits
676,1100,functional__groups
679,1100,functional__groups
682,1100,quality__traits
684,1100,agronomic__traits phenotypic__traits quantitative__trait
687,1100,functional__groups
688,1100,functional__diversity phenotypic__traits quantitative__trait
692,1100,functional__groups
693,1100,plant__traits
694,1100,important__traits
695,1100,morphological__traits
699,1100,functional__groups
703,1100,growth__traits physiological__traits
706,1100,functional__groups
708,1100,quality__traits
709,1100,physiological__traits
710,1100,agronomic__traits
711,1100,quality__traits
712,1100,plant__functional__traits
714,1100,quality__traits
715,1100,phenotypic__traits
718,1100,functional__traits
719,1100,functional__groups
720,1100,physiological__traits
722,1100,functional__groups
723,1100,important__traits
728,1100,life_history__traits
735,1100,functional__groups functional__traits
738,1100,trait__variation
740,1100,ecological__traits species__traits
741,1100,agronomic__traits
743,1100,quality__traits
744,1100,physiological__traits
746,1100,functional__traits trait__variation
748,1100,agronomic__traits
749,1100,functional__traits
751,1100,functional__diversity functional__traits plant__functional__traits species__traits
753,1100,functional__traits
754,1100,functional__traits life_history__traits
755,1100,morphological__traits physiological__traits quality__traits
756,1100,functional__groups
758,1100,ecological__traits species__traits
759,1100,life_history__traits
760,1100,functional__diversity functional__traits functional__traits
762,1100,quality__traits
763,1100,growth__traits
766,1100,functional__diversity physiological__traits
767,1100,life_history__traits
768,1100,functional__traits
769,1100,functional__groups
770,1100,adaptive__traits trait__variation
775,1100,functional__groups
778,1100,ecological__traits species__traits
781,1100,functional__groups
782,1100,agronomic__traits
783,1100,functional__traits
784,1100,adaptive__traits
786,1100,plant__traits
787,1100,adaptive__traits
792,1100,functional__diversity functional__groups plant__functional__groups
793,1100,plant__functional__groups
795,1100,life_history__traits
797,1100,functional__groups
799,1100,morphological__traits
800,1100,reproductive__traits
802,1100,functional__groups
805,1100,functional__traits morphological__traits
806,1100,functional__traits
808,1100,functional__groups
811,1100,physiological__traits
812,1100,functional__groups functional__groups
814,1100,functional__groups
820,1100,life_history__traits phenotypic__traits
823,1100,morphological__traits
826,1100,physiological__traits
828,1100,agronomic__traits
829,1100,functional__traits species__traits
833,1100,functional__traits
837,1100,agronomic__traits important__traits
838,1100,ecological__traits functional__diversity
840,1100,history__traits
844,1100,functional__groups
846,1100,functional__diversity functional__traits
847,1100,functional__traits trait__variation
848,1100,species__traits
849,1100,quantitative__trait
850,1100,functional__traits functional__traits life_history__traits
851,1100,morphological__traits
853,1100,biological__traits
854,1100,ecological__traits
855,1100,plant__traits
857,1100,species__traits
859,1100,trait__variation
862,1100,reproductive__traits
863,1100,ecological__traits
865,1100,life_history__traits
866,1100,phenotypic__traits
867,1100,physiological__traits
868,1100,plant__traits quality__traits
869,1100,quantitative__trait reproductive__traits
870,1100,adaptive__traits
872,1100,physiological__traits
873,1100,growth__traits
874,1100,ecological__traits
875,1100,physiological__traits
876,1100,morphological__traits
878,1100,morphological__traits
881,1100,morphological__traits
882,1100,physiological__traits
883,1100,functional__traits
885,1100,reproductive__traits
887,1100,functional__groups
888,1100,growth__traits
891,1100,physiological__traits
892,1100,life_history__traits
893,1100,functional__traits
894,1100,functional__traits functional__traits
896,1100,physiological__traits
897,1100,quality__traits
901,1100,physiological__traits
902,1100,physiological__traits
904,1100,functional__groups
907,1100,functional__diversity
909,1100,morphological__traits
910,1100,life_history__traits
911,1100,morphological__traits
912,1100,functional__traits plant__functional__traits
914,1100,life_history__traits
915,1100,important__traits
917,1100,functional__groups
918,1100,functional__groups
919,1100,growth__traits
920,1100,phenotypic__traits
921,1100,functional__groups
922,1100,physiological__traits
928,1100,physiological__traits
930,1100,functional__diversity
933,1100,physiological__traits
934,1100,functional__traits
935,1100,physiological__traits
938,1100,morphological__traits
942,1100,physiological__traits
943,1100,trait__variation
946,1100,functional__groups
951,1100,history__traits
952,1100,adaptive__traits
953,1100,quality__traits
957,1100,species__traits
958,1100,functional__groups functional__groups
959,1100,functional__groups plant__functional__groups
960,1100,reproductive__traits
961,1100,quantitative__trait
963,1100,functional__traits morphological__traits
965,1100,morphological__traits
968,1100,functional__diversity functional__traits plant__functional__traits plant__traits plant__traits trait__variation
977,1100,functional__groups
978,1100,life_history__traits life_history__traits
980,1100,important__traits
984,1100,quality__traits
985,1100,quantitative__trait
986,1100,adaptive__traits
991,1100,physiological__traits
992,1100,functional__groups
994,1100,phenotypic__traits
995,1100,functional__groups
1001,1100,phenotypic__traits
1002,1100,history__traits
1003,1100,functional__groups
1005,1100,biological__traits
1006,1100,phenotypic__traits
1009,1100,physiological__traits
1012,1100,functional__groups
1013,1100,ecological__traits ecological__traits functional__diversity
1015,1100,important__traits
1020,1100,functional__diversity functional__traits
1021,1100,biological__traits
1022,1100,functional__groups
1024,1100,functional__groups
1025,1100,phenotypic__traits
1029,1100,functional__traits
1030,1100,functional__diversity functional__groups
1032,1100,species__traits
1033,1100,life_history__traits
1036,1100,functional__diversity functional__groups
1040,1100,trait__variation
1041,1100,reproductive__traits
1042,1100,agronomic__traits
1045,1100,biological__traits
1046,1100,quality__traits
1047,1100,physiological__traits
1048,1100,quantitative__trait
1050,1100,agronomic__traits
1052,1100,morphological__traits
1053,1100,functional__diversity
1055,1100,functional__traits
1057,1100,functional__groups
1061,1100,functional__diversity functional__traits
1062,1100,important__traits
1063,1100,plant__traits
1064,1100,functional__groups
1065,1100,phenotypic__traits phenotypic__traits trait__variation
1067,1100,functional__groups
1070,1100,quantitative__trait
1071,1100,quantitative__trait
1072,1100,life_history__traits
1073,1100,physiological__traits
1074,1100,life_history__traits
1075,1100,species__traits
1076,1100,important__traits
1077,1100,functional__traits
1078,1100,ecological__traits
1082,1100,quantitative__trait
1087,1100,functional__groups
1088,1100,physiological__traits
1090,1100,quantitative__trait
1091,1100,functional__groups functional__groups
1092,1100,morphological__traits
1094,1100,functional__diversity
1095,1100,quantitative__trait
1100,1100,agronomic__traits physiological__traits
1104,1100,quantitative__trait
1107,1100,functional__groups
1109,1100,morphological__traits
1110,1100,biological__traits
1119,1100,quantitative__trait
1121,1100,agronomic__traits
1124,1100,physiological__traits
1127,1100,biological__traits
1130,1100,quality__traits quantitative__trait
1132,1100,functional__traits
1133,1100,functional__traits
1135,1100,physiological__traits
1138,1100,important__traits
1140,1100,biological__traits
1142,1100,life_history__traits
1143,1100,adaptive__traits
1146,1100,morphological__traits
1149,1100,functional__diversity functional__groups
1150,1100,agronomic__traits
1153,1100,growth__traits
1157,1100,morphological__traits
1158,1100,quality__traits
1159,1100,physiological__traits
1161,1100,ecological__traits
1162,1100,agronomic__traits quality__traits
1165,1100,important__traits
1167,1100,quantitative__trait
1170,1100,agronomic__traits
1174,1100,trait__variation
1177,1100,functional__groups
1178,1100,quality__traits
1179,1100,history__traits
1180,1100,important__traits
1181,1100,physiological__traits
1183,1100,morphological__traits
1186,1100,physiological__traits
1187,1100,adaptive__traits
1191,1100,agronomic__traits
1192,1100,functional__groups
1196,1100,functional__groups
1198,1100,physiological__traits quantitative__trait
1199,1100,agronomic__traits
1200,1100,quantitative__trait
1203,1100,adaptive__traits
1204,1100,morphological__traits
1207,1100,species__traits
1209,1100,quality__traits
1211,1100,functional__groups
1213,1100,life_history__traits
1214,1100,growth__traits
1216,1100,important__traits
1217,1100,plant__traits
1218,1100,trait__variation
1220,1100,physiological__traits
1222,1100,life_history__traits physiological__traits
1225,1100,functional__groups
1228,1100,functional__groups
1232,1100,quantitative__trait
1233,1100,physiological__traits
1235,1100,functional__groups
1241,1100,quantitative__trait quantitative__trait
1243,1100,quantitative__trait
1245,1100,functional__groups
1247,1100,functional__groups functional__diversity
1248,1100,physiological__traits
1249,1100,functional__diversity phenotypic__traits
1250,1100,adaptive__traits
1252,1100,reproductive__traits
1254,1100,functional__traits species__traits
1256,1100,plant__traits
1257,1100,quantitative__trait
1258,1100,functional__groups
1260,1100,functional__traits
1266,1100,history__traits
1269,1100,functional__traits
1270,1100,agronomic__traits
1271,1100,quality__traits
1273,1100,history__traits
1275,1100,agronomic__traits
1280,1100,functional__groups
1283,1100,quantitative__trait
1285,1100,morphological__traits
1286,1100,quantitative__trait
1289,1100,agronomic__traits
1290,1100,agronomic__traits agronomic__traits
1291,1100,functional__traits functional__traits
1294,1100,growth__traits
1295,1100,agronomic__traits
1297,1100,phenotypic__traits
1302,1100,functional__traits
1304,1100,life_history__traits
1306,1100,agronomic__traits
1308,1100,physiological__traits
1309,1100,physiological__traits
1310,1100,functional__traits
1313,1100,adaptive__traits
1317,1100,functional__groups
1318,1100,physiological__traits
1319,1100,functional__diversity functional__traits
1320,1100,functional__groups
1321,1100,functional__traits functional__traits
1324,1100,biological__traits ecological__traits
1325,1100,species__traits
1326,1100,life_history__traits
1327,1100,morphological__traits
1330,1100,history__traits
1333,1100,physiological__traits
1334,1100,functional__groups functional__traits plant__functional__groups
1337,1100,functional__traits functional__traits quantitative__trait trait__variation
1338,1100,functional__traits
1340,1100,physiological__traits
1342,1100,functional__diversity
1344,1100,species__traits
1351,1100,morphological__traits
1355,1100,trait__variation
1357,1100,functional__diversity
1358,1100,functional__traits
1360,1100,trait__variation
1361,1100,functional__groups
1365,1100,agronomic__traits
1366,1100,functional__traits plant__functional__traits
